,GO:0007264,GO:0006412,GO:0000209,GO:0007411,GO:0007605,GO:0055085,GO:0007420,GO:0008360,GO:0001666,GO:0007010,GO:0071356,GO:0070588,GO:0071277,GO:0042981,GO:0030036,GO:0051897,GO:0045766,GO:0072659,GO:0034599,GO:0018105,GO:0002181,Age
GSM989862,2.7685295546148962,2.886064126199897,2.7692366547096205,2.8830849257815325,2.7681286123789746,2.7689340088495413,2.7720314187136217,2.7902663851152427,2.7687302998057026,2.8296920427268404,2.8895498213248336,2.7687323820330287,2.7685912181255823,2.770652147883365,2.767891922719629,2.7678265566922606,2.7685779526228766,2.6899978660330586,2.769469720897331,2.7667714669172696,2.887825073692412,1.619047619047619
GSM989863,2.597694059587873,2.0439842601425378,2.597937852296097,2.584032020617795,2.551161768071024,2.556513414317218,2.5968866447542758,2.599097683174896,2.5961292950207904,2.5990659774679314,2.6007219462113302,2.5225369954431818,2.5979261989764217,2.196714248273694,2.5853923584134617,2.6386035638401864,2.596509666768453,2.5971312197376784,2.5972203536529874,2.5978113481584595,2.1034664088997794,3.8571428571428568
GSM989864,2.6642725300773455,2.6603088200308043,2.6642888636610857,2.6641818973399145,2.6733730585820368,2.6647331518082757,2.6646865121210537,2.6667725065882966,2.6647837858794854,2.670831770974616,2.667416274441377,2.664245344062028,2.6645534394350183,2.6652011980137575,2.664455453340864,2.7606708218852773,2.6642090756898122,2.664210144891149,2.66451586032106,2.6645422268408727,2.660378959067579,2.8095238095238093
GSM989865,2.6641256633593993,2.6676694385432507,2.664151973329754,2.6673343580193776,2.6816828612296097,2.664923807181513,2.6635690246937487,2.6636194327227756,2.6637305221871377,2.6533166955737317,2.6609971844700526,2.6641725704417154,2.662215831195418,2.6670245301153748,2.664258503275847,2.665159919751313,2.6650943402781273,2.664107392176731,2.665433565974598,2.6643569384863754,2.6678912877868863,3.0476190476190474
GSM989866,2.5977652953077,2.819068604383041,2.5976827784206526,2.4305559278396154,2.574550811705244,2.649236158637731,2.5985243188325464,2.597466295541988,2.599158771643899,2.5970121594971105,2.5965959821349816,2.451765811947636,2.5973538082487293,2.518690510221063,2.5987931516069986,2.71554840097146,2.595501603909767,2.5980129170447275,2.5985081002300467,2.5977027270426927,2.6349513602166694,3.095238095238095
GSM989867,2.7685959719488293,2.8611787168168634,2.769012962085536,2.876984215418423,2.771555327245009,2.7687541393217896,2.7702405303222837,2.7001697187221136,2.76851304964575,2.7714349381101018,2.7267560443047287,2.768713188156956,2.7684173390960187,2.7700256449837823,2.7687419421397474,2.768285170456486,2.768151401663017,2.6274840657399743,2.766804456010456,2.7376846228170906,2.860378256117034,3.1904761904761907
GSM989868,2.6648854523464336,2.659778982177087,2.6642607767702446,2.665484770953623,2.6587647776003664,2.6647948867840854,2.665076342151104,2.663257727731564,2.6636710262156478,2.6466950741913826,2.6626672617220764,2.6646530201879934,2.663936122494011,2.663558537072631,2.6639664887773464,2.6430474066125655,2.6642350867504203,2.665055803964612,2.664513994993307,2.6647961049563254,2.6596373777720763,2.5714285714285716
GSM989869,2.7076876989426615,2.7141562884563535,2.7070997963170607,2.57511288012331,2.731033087461668,2.70752527367709,2.7073523885899684,2.705160309829836,2.707653683446129,2.70525642380658,2.705919752063678,2.7078051904803475,2.7076758793397735,2.706700645989516,2.7081046484710956,2.785847849228266,2.70633126490623,2.707949204629926,2.707698409719835,2.708444442037529,2.712051726764394,2.7142857142857144
GSM989870,2.5978050652422007,1.3405164282398223,2.5982949325801927,2.5464330856272817,2.7680911077685666,2.602593917113383,2.596278537352874,2.5986052365764296,2.597837928839431,2.599313398361629,2.599680007845619,2.583231201375943,2.5981593618072587,2.889471957050591,2.6029782092379437,2.831488892853204,2.5991416907675178,2.5977919161892262,2.5977279781769003,2.5977705273308933,1.3278537162808122,2.5238095238095237
GSM989871,2.7194836293412035,2.721824823314186,2.7201393901327164,2.721969426484211,2.774934252610809,2.7211464776102967,2.720928708001599,2.7209155184951013,2.720998130558175,2.722025684318058,2.721927675445718,2.721007792087608,2.72122077697342,2.7203664138215795,2.720699719181462,2.699343789632087,2.719822678919807,2.720135492297706,2.721080753414679,2.720702135297045,2.7217974734938877,3.1904761904761907
GSM989872,2.6625328563270143,2.688769782997932,2.661895926019952,2.765796357502663,2.663499661167963,2.661023621019309,2.6627984404283085,2.6994447010997704,2.6619001998862166,2.6666780266717347,2.7227287374791715,2.662310002701899,2.661681102193498,2.6618407569724205,2.6634502539970115,2.697423993436415,2.6622119413743217,2.6624355283941696,2.842696702490718,2.6622532911648817,2.689132692648845,3.095238095238095
GSM989873,2.661391255490737,2.6530578921309536,2.6622587648415412,2.684264746882025,2.6633324105303595,2.5554787236305136,2.6599179044155368,2.627689795560829,2.6613311302100637,2.6623505572170645,2.6325848507680347,2.6623900008218393,2.662007988360154,2.661614138511523,2.662078719328673,2.5710466856360665,2.661923275488853,2.6584620808713577,1.9027905928380076,2.661516960596217,2.6522545808495623,3.238095238095238
GSM989874,2.6625022503069715,2.6703931853899614,2.662283572682525,2.742969379719926,2.662078669533031,2.6379691942185817,2.661186676260307,2.6615633786033905,2.661946690428028,2.6619085343121114,2.6868748613218183,2.662195519141448,2.66192526846481,2.661951565979717,2.6627716062257805,2.4715066062485014,2.662546604129699,2.6618282244131204,2.4903832194791793,2.6620173683973336,2.6703471532398395,2.1904761904761907
GSM989875,2.662796292249247,2.6661574730645676,2.6621961633566307,2.715295758702618,2.661348365165306,2.5792602809918757,2.6614662059284826,2.619736519316553,2.661743104322692,2.6595763742368095,2.6407975138401576,2.6622280936921,2.6618729704336404,2.661632713117854,2.6601222734159267,2.6932739336495524,2.66189442826403,2.659500165625792,2.4262599837813905,2.661650785187784,2.664675189975814,2.761904761904762
GSM989876,2.769993284526399,2.7485910074782383,2.768831461851366,2.78478622197948,2.761048229818171,2.768620510838229,2.77026836011604,2.922643633769587,2.7686679605864772,2.9071876216780943,2.906458613527211,2.768537052607459,2.7695604179790947,2.771443621243412,2.7692110210097263,2.768104996438068,2.768571005167362,3.1072437523665286,2.7850653767882427,2.8856762356084724,2.7621058012106627,1.5714285714285716
